filename,compound_name,area,compound_name_IS,area_IS,bmis_area,result_column
230810_Poo_G5_NFEX_Full2,"Glycine betaine 0(15N), 1(13C)",178880352.0,"Arsenobetaine, 13C2",803899584.0,0.22251579122598475,143637069.82728946
230810_Poo_G5_NFEX_Full3,"Glycine betaine 0(15N), 1(13C)",134248192.0,"Arsenobetaine, 13C2",645509696.0,0.20797238652167357,134249097.73986968
230810_Poo_G5_NFEX_Full4,"Glycine betaine 0(15N), 1(13C)",142855712.0,"Arsenobetaine, 13C2",652528576.0,0.2189263692874655,141320047.53066027
230810_Poo_G5_NFEX_Full5,"Glycine betaine 0(15N), 1(13C)",144196864.0,"Arsenobetaine, 13C2",663170176.0,0.21743568878465366,140357792.32039922
230810_Poo_G5_NFEX_Full6,"Glycine betaine 0(15N), 1(13C)",138535888.0,"Arsenobetaine, 13C2",629394432.0,0.22010980866128793,142083974.2750838
230810_Poo_G5_NFEX_Full7,"Glycine betaine 0(15N), 1(13C)",144478544.0,"Arsenobetaine, 13C2",644034688.0,0.22433348186363528,144810414.67443994
230810_Poo_G5_NFEX_Full8,"Glycine betaine 0(15N), 1(13C)",136853792.0,"Arsenobetaine, 13C2",620862976.0,0.22042511357610733,142287508.0279796
230810_Poo_G5_NFEX_Full9,"Glycine betaine 0(15N), 1(13C)",137218592.0,"Arsenobetaine, 13C2",616210752.0,0.22268126863193716,143743887.81797078
230810_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 1(13C)",275288544.0,"Arsenobetaine, 13C2",649602240.0,0.42378016430485216,273556050.63488173
230810_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 1(13C)",272827360.0,"Arsenobetaine, 13C2",657809024.0,0.4147516225013052,267728000.03977755
230810_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 1(13C)",281261760.0,"Arsenobetaine, 13C2",665541184.0,0.422606093750015,272798171.59475535
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",148214304.0,"Arsenobetaine, 13C2",532375776.0,0.2784016679226216,179712188.49283034
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",172231600.0,"Arsenobetaine, 13C2",707928128.0,0.24328966908911973,157046899.8837113
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",137897344.0,"Arsenobetaine, 13C2",655992192.0,0.21021186788759827,135694714.42874345
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",196404320.0,"Arsenobetaine, 13C2",617757568.0,0.31793106256206966,205228968.16394356
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",108466584.0,"Arsenobetaine, 13C2",668645504.0,0.16221837034890166,104714237.40623635
230810_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",145374864.0,"Arsenobetaine, 13C2",656068480.0,0.22158489308920923,143036161.99986106
230810_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",170265136.0,"Arsenobetaine, 13C2",648285824.0,0.26263899301305715,169537160.3558359
